,0,1,2,3,4,5,6,7,8,9,10,11
502,CHO_4,RIC_5,ROA_6,,,,,,,,,
503,CAE_10,CHS_11,CAE_12,,,,,,,,,
504,RIC_6,CHO_7,RIC_8,ROA_9,,,,,,,,
505,GSP_5,CHS_6,CAE_7,CHS_8,CAE_9,CHS_10,CAE_11,CHS_12,CAE_13,,,
506,CAE_9,CHS_10,CAE_11,CHS_12,,,,,,,,
507,CHS_8,CAE_9,CHS_10,,,,,,,,,
508,CHS_7,CAE_8,GSP_9,CHS_10,CAE_11,CHS_12,CAE_13,,,,,
509,CAE_4,CHS_5,GSP_6,,,,,,,,,
510,CHS_10,CAE_11,CHS_12,CAE_13,,,,,,,,
511,CHS_5,GSP_6,,,,,,,,,,
512,ROA_3,RIC_4,ROA_5,RIC_6,CHO_7,ROA_8,,,,,,
513,CAE_2,CHS_3,GSP_4,CHS_5,CAE_6,CHS_7,CAE_8,CHS_9,CAE_10,,,
514,GSP_1,CHS_2,,,,,,,,,,
515,RIC_5,ROA_6,RIC_7,ROA_8,,,,,,,,
516,GSP_7,CHS_8,CAE_9,CHS_10,,,,,,,,
517,CHS_4,GSP_5,,,,,,,,,,
518,CHO_8,ROA_9,RIC_10,ROA_11,,,,,,,,
519,ROA_10,RIC_11,ROA_12,,,,,,,,,
520,ROA_7,RIC_8,ROA_9,RIC_10,ROA_11,,,,,,,
521,GSP_8,CHS_9,GSP_10,,,,,,,,,
522,CHS_4,CAE_5,CHS_6,CAE_7,CHS_8,,,,,,,
523,CHS_10,CAE_11,,,,,,,,,,
524,CHS_6,CAE_7,CHS_8,GSP_9,CHS_10,,,,,,,
525,GSP_7,CHS_8,CAE_9,CHS_10,CAE_11,,,,,,,
526,ROA_4,RIC_5,ROA_6,RIC_7,ROA_8,RIC_9,ROA_10,,,,,
527,ROA_10,RIC_11,ROA_12,CHO_13,,,,,,,,
528,CHS_8,GSP_9,,,,,,,,,,
529,RIC_8,ROA_9,RIC_10,,,,,,,,,
530,CAE_5,CHS_6,CAE_7,CHS_8,GSP_9,CHS_10,CAE_11,,,,,
531,CHO_4,RIC_5,CHO_6,RIC_7,GSP_8,CHS_9,GSP_10,CHS_11,,,,
532,ROA_10,RIC_11,ROA_12,CHO_13,,,,,,,,
533,CHS_3,GSP_4,CHS_5,CAE_6,CHS_7,CAE_8,,,,,,
534,ROA_8,RIC_9,ROA_10,CHO_11,RIC_12,ROA_13,,,,,,
535,CHS_3,CAE_4,CHS_5,GSP_6,CHS_7,GSP_8,CHS_9,,,,,
536,CAE_2,CHS_3,GSP_4,CHS_5,GSP_6,,,,,,,
537,CAE_7,CHS_8,CAE_9,CHS_10,,,,,,,,
538,CHS_5,GSP_6,,,,,,,,,,
539,CHO_3,RIC_4,CHO_5,,,,,,,,,
540,CHO_9,ROA_10,RIC_11,,,,,,,,,
